ID,Overall_Experience
99900001,0
99900002,0
99900003,0
99900004,0
99900005,0
99900006,0
99900007,0
99900008,0
99900009,0
99900010,0
99900011,0
99900012,0
99900013,0
99900014,0
99900015,0
99900016,0
99900017,0
99900018,0
99900019,0
99900020,0
99900021,0
99900022,0
99900023,0
99900024,0
99900025,0
99900026,0
99900027,0
99900028,0
99900029,0
99900030,0
99900031,0
99900032,0
99900033,0
99900034,0
99900035,0
99900036,0
99900037,0
99900038,0
99900039,0
99900040,0
99900041,0
99900042,0
99900043,0
99900044,0
99900045,0
99900046,0
99900047,0
99900048,0
99900049,0
99900050,0
99900051,0
99900052,0
99900053,0
99900054,0
99900055,0
99900056,0
99900057,0
99900058,0
99900059,0
99900060,0
99900061,0
99900062,0
99900063,0
99900064,0
99900065,0
99900066,0
99900067,0
99900068,0
99900069,0
99900070,0
99900071,0
99900072,0
99900073,0
99900074,0
99900075,0
99900076,0
99900077,0
99900078,0
99900079,0
99900080,0
99900081,0
99900082,0
99900083,0
99900084,0
99900085,0
99900086,0
99900087,0
99900088,0
99900089,0
99900090,0
99900091,0
99900092,0
99900093,0
99900094,0
99900095,0
99900096,0
99900097,0
99900098,0
99900099,0
99900100,0
99900101,0
99900102,0
99900103,0
99900104,0
99900105,0
99900106,0
99900107,0
99900108,0
99900109,0
99900110,0
99900111,0
99900112,0
99900113,0
99900114,0
99900115,0
99900116,0
99900117,0
99900118,0
99900119,0
99900120,0
99900121,0
99900122,0
99900123,0
99900124,0
99900125,0
99900126,0
99900127,0
99900128,0
99900129,0
99900130,0
99900131,0
99900132,0
99900133,0
99900134,0
99900135,0
99900136,0
99900137,0
99900138,0
99900139,0
99900140,0
99900141,0
99900142,0
99900143,0
99900144,0
99900145,0
99900146,0
99900147,0
99900148,0
99900149,0
99900150,0
99900151,0
99900152,0
99900153,0
99900154,0
99900155,0
99900156,0
99900157,0
99900158,0
99900159,0
99900160,0
99900161,0
99900162,0
99900163,0
99900164,0
99900165,0
99900166,0
99900167,0
99900168,0
99900169,0
99900170,0
99900171,0
99900172,0
99900173,0
99900174,0
99900175,0
99900176,0
99900177,0
99900178,0
99900179,0
99900180,0
99900181,0
99900182,0
99900183,0
99900184,0
99900185,0
99900186,0
99900187,0
99900188,0
99900189,0
99900190,0
99900191,0
99900192,0
99900193,0
99900194,0
99900195,0
99900196,0
99900197,0
99900198,0
99900199,0
99900200,0
99900201,0
99900202,0
99900203,0
99900204,0
99900205,0
99900206,0
99900207,0
99900208,0
99900209,0
99900210,0
99900211,0
99900212,0
99900213,0
99900214,0
99900215,0
99900216,0
99900217,0
99900218,0
99900219,0
99900220,0
99900221,0
99900222,0
99900223,0
99900224,0
99900225,0
99900226,0
99900227,0
99900228,0
99900229,0
99900230,0
99900231,0
99900232,0
99900233,0
99900234,0
99900235,0
99900236,0
99900237,0
99900238,0
99900239,0
99900240,0
99900241,0
99900242,0
99900243,0
99900244,0
99900245,0
99900246,0
99900247,0
99900248,0
99900249,0
99900250,0
99900251,0
99900252,0
99900253,0
99900254,0
99900255,0
99900256,0
99900257,0
99900258,0
99900259,0
99900260,0
99900261,0
99900262,0
99900263,0
99900264,0
99900265,0
99900266,0
99900267,0
99900268,0
99900269,0
99900270,0
99900271,0
99900272,0
99900273,0
99900274,0
99900275,0
99900276,0
99900277,0
99900278,0
99900279,0
99900280,0
99900281,0
99900282,0
99900283,0
99900284,0
99900285,0
99900286,0
99900287,0
99900288,0
99900289,0
99900290,0
99900291,0
99900292,0
99900293,0
99900294,0
99900295,0
99900296,0
99900297,0
99900298,0
99900299,0
99900300,0
99900301,0
99900302,0
99900303,0
99900304,0
99900305,0
99900306,0
99900307,0
99900308,0
99900309,0
99900310,0
99900311,0
99900312,0
99900313,0
99900314,0
99900315,0
99900316,0
99900317,0
99900318,0
99900319,0
99900320,0
99900321,0
99900322,0
99900323,0
99900324,0
99900325,0
99900326,0
99900327,0
99900328,0
99900329,0
99900330,0
99900331,0
99900332,0
99900333,0
99900334,0
99900335,0
99900336,0
99900337,0
99900338,0
99900339,0
99900340,0
99900341,0
99900342,0
99900343,0
99900344,0
99900345,0
99900346,0
99900347,0
99900348,0
99900349,0
99900350,0
99900351,0
99900352,0
99900353,0
99900354,0
99900355,0
99900356,0
99900357,0
99900358,0
99900359,0
99900360,0
99900361,0
99900362,0
99900363,0
99900364,0
99900365,0
99900366,0
99900367,0
99900368,0
99900369,0
99900370,0
99900371,0
99900372,0
99900373,0
99900374,0
99900375,0
99900376,0
99900377,0
99900378,0
99900379,0
99900380,0
99900381,0
99900382,0
99900383,0
99900384,0
99900385,0
99900386,0
99900387,0
99900388,0
99900389,0
99900390,0
99900391,0
99900392,0
99900393,0
99900394,0
99900395,0
99900396,0
99900397,0
99900398,0
99900399,0
99900400,0
99900401,0
99900402,0
99900403,0
99900404,0
99900405,0
99900406,0
99900407,0
99900408,0
99900409,0
99900410,0
99900411,0
99900412,0
99900413,0
99900414,0
99900415,0
99900416,0
99900417,0
99900418,0
99900419,0
99900420,0
99900421,0
99900422,0
99900423,0
99900424,0
99900425,0
99900426,0
99900427,0
99900428,0
99900429,0
99900430,0
99900431,0
99900432,0
99900433,0
99900434,0
99900435,0
99900436,0
99900437,0
99900438,0
99900439,0
99900440,0
99900441,0
99900442,0
99900443,0
99900444,0
99900445,0
99900446,0
99900447,0
99900448,0
99900449,0
99900450,0
99900451,0
99900452,0
99900453,0
99900454,0
99900455,0
99900456,0
99900457,0
99900458,0
99900459,0
99900460,0
99900461,0
99900462,0
99900463,0
99900464,0
99900465,0
99900466,0
99900467,0
99900468,0
99900469,0
99900470,0
99900471,0
99900472,0
99900473,0
99900474,0
99900475,0
99900476,0
99900477,0
99900478,0
99900479,0
99900480,0
99900481,0
99900482,0
99900483,0
99900484,0
99900485,0
99900486,0
99900487,0
99900488,0
99900489,0
99900490,0
99900491,0
99900492,0
99900493,0
99900494,0
99900495,0
99900496,0
99900497,0
99900498,0
99900499,0
99900500,0
99900501,0
99900502,0
99900503,0
99900504,0
99900505,0
99900506,0
99900507,0
99900508,0
99900509,0
99900510,0
99900511,0
99900512,0
99900513,0
99900514,0
99900515,0
99900516,0
99900517,0
99900518,0
99900519,0
99900520,0
99900521,0
99900522,0
99900523,0
99900524,0
99900525,0
99900526,0
99900527,0
99900528,0
99900529,0
99900530,0
99900531,0
99900532,0
99900533,0
99900534,0
99900535,0
99900536,0
99900537,0
99900538,0
99900539,0
99900540,0
99900541,0
99900542,0
99900543,0
99900544,0
99900545,0
99900546,0
99900547,0
99900548,0
99900549,0
99900550,0
99900551,0
99900552,0
99900553,0
99900554,0
99900555,0
99900556,0
99900557,0
99900558,0
99900559,0
99900560,0
99900561,0
99900562,0
99900563,0
99900564,0
99900565,0
99900566,0
99900567,0
99900568,0
99900569,0
99900570,0
99900571,0
99900572,0
99900573,0
99900574,0
99900575,0
99900576,0
99900577,0
99900578,0
99900579,0
99900580,0
99900581,0
99900582,0
99900583,0
99900584,0
99900585,0
99900586,0
99900587,0
99900588,0
99900589,0
99900590,0
99900591,0
99900592,0
99900593,0
99900594,0
99900595,0
99900596,0
99900597,0
99900598,0
99900599,0
99900600,0
99900601,0
99900602,0
99900603,0
99900604,0
99900605,0
99900606,0
99900607,0
99900608,0
99900609,0
99900610,0
99900611,0
